from_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_contracts,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0x3cc44c0a462cd4e9c0ab15028f65b353f7df1de8,0,0.0,24,0.0,32640,1360.0,32640,1360.0,1,8,22325591,22444248,8,32.0,32,32.0,32,32.0,32,1.0,118657,0.00020226196295235045
0x39419e2f124a2bff928c64494bff67bae96c83d3,0,0.0,2,0.0,2720,1360.0,2720,1360.0,1,1,22417291,22417291,1,32.0,32,32.0,32,32.0,32,1.0,0,2.0
0x3749dd5d2820dc16f8128c81b14a3eba5826e04f,0,0.0,87,0.0,118320,1360.0,118320,1360.0,1,28,22216896,22524060,28,32.0,32,32.0,32,32.0,32,1.0,307164,0.00028323539465759443
0x3540b9de3c81b87d565884d4b73e3a48465744e6,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22146333,22146333,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0x30d2f78a495997d4eb9cd5a6a7789c5bbee677d5,0,0.0,66,0.0,89760,1360.0,89760,1360.0,1,22,22365808,22581000,22,32.0,32,32.0,32,32.0,32,1.0,215192,0.00030670142616163164
0x2915637a5f4b83b4097fc0b2eae2fe3c1c761465,0,0.0,33,0.0,44880,1360.0,44880,1360.0,1,11,22416124,22580746,11,32.0,32,32.0,32,32.0,32,1.0,164622,0.00020045801619457792
0x28e4ae4f680e9074bb1d0809e97434677b6e5b01,0,0.0,6,0.0,8160,1360.0,8160,1360.0,1,2,22224228,22224316,2,32.0,32,32.0,32,32.0,32,1.0,88,0.06741573033707865
0x2891d2f99bc447a591f06d896f5f72647aa1bc4c,0,0.0,72,0.0,97920,1360.0,97920,1360.0,1,24,22228330,22580450,24,32.0,32,32.0,32,32.0,32,1.0,352120,0.00020447516620707086
0x27fb5f3fb741dca57c1b8766cd8b82546bb4f4ca,0,0.0,2,0.0,2698,1349.0,2698,1349.0,1,2,22579656,22579749,2,32.0,32,32.0,32,32.0,32,1.0,93,0.02127659574468085
0x2791a02da92175eb44d267cdcc954debf64ca31f,0,0.0,63,0.0,85680,1360.0,85680,1360.0,1,21,22431640,22523997,21,32.0,32,32.0,32,32.0,32,1.0,92357,0.0006821282401091405
0x256b3cc1e516d124b3027ecd083aa5a940d1328e,0,0.0,54,0.0,73440,1360.0,73440,1360.0,1,17,22194799,22580504,17,32.0,32,32.0,32,32.0,32,1.0,385705,0.00014000300747201236
